reaction_id,median_fluxes,std_fluxes
PTE11x,0.0,0.0
GLUTRS,0.00028077610821871356,0.00023021730112193767
AICART,0.00030919592165949987,0.00020991614903403754
CYTD,1.0189466708930966e-12,2.127220066195473e-12
42A12BOOX,0.0,0.0
DPGM,0.038103606723038516,0.036925795282497655
TPI,0.35747457605905625,0.34479976117854394
COAtim,3.961289756382942e-14,4.6002971213504905e-12
NADS2,2.4763494327161107e-13,6.926730133208182e-13
ACACT4p,0.012785154858539954,0.010683945871014549
HISTRS,8.230212922505427e-05,6.748214506799718e-05
PHETRSm,0.0,0.0
OMCDC,0.027523854011188904,0.02991726907517744
LEUTA,16308.421466102416,193918.72299983297
DTMPK,3.3947761380289157e-06,2.783485408906061e-06
ALCD23yi,0.0,0.0
FA140COAabcp,0.00743705028174475,0.01021678464733622
FACOAL160p,0.12306747780616188,0.20636505316941725
PGL,0.3707015624412541,0.20746916795283102
THRD_Lm,0.06078116951623097,0.053036195154849135
BGLA,0.0,0.0
TRPTRS,3.13764505599272e-05,2.5726554201458732e-05
AMETt2,1.0989380350709787e-13,3.224841846015596e-13
SHSL1,0.0,0.0
AHSERL,0.0,0.0
ACtr,-0.02383050328878792,0.029480951246388373
LNS14DMrx,0.0006284057718991597,0.0009634921719121037
ACOAD10m,0.00029278362009336215,0.0003533430927678553
TMDPP,-4.029884058340329e-12,3.7963982141339436e-11
INSTt2,0.0,0.0
IPC224PLCg_RT,0.0,0.0
DCTCP,0.0,0.0
TRPTRSm,0.0,0.0
HEX7,0.729691949259685,0.9004527669688783
HICITDm,0.04943138242707181,0.05246329500094634
MALtm,0.41911035569613825,0.48613782807427536
AMID,0.0,0.0
MCITSm,0.0464530217636355,0.05066842079242506
GNNUC,0.23773879346599563,0.6054209356057452
PNTK,1.0360591716283883e-06,8.494980732257694e-07
FAO80p,0.012785154858706583,0.010683945870953365
ADA,1.1094502405340926e-11,1.8260713573515734e-11
GLUDxi,58402.89535724643,53098.201905910915
URAt2,-1.3772497611673827e-13,1.8280820251711686e-12
FA180COAabcp,0.00309247109882382,0.00323211577650176
AMID2,0.0,0.0
ERGSTt,1.9963876047320175e-13,5.416135084358315e-13
CSNATp,0.44062646616143897,0.5916986404568622
UDPG4E,0.0,0.0
CYOR_u9m,7.7302977028644655,0.5992457414562151
SHK3Dr,0.027496187350548956,0.015796451117117263
SSALy,0.10656788703076547,0.06586641567817371
CYSDS,8.485230988674661e-12,2.6405222034852583e-11
RBK,0.8418982680878748,0.6926659948232188
MOHMT,1.0360339996939661e-06,8.494951988155683e-07
IPC324PLCg_RT,0.0,0.0
GARFT,0.0002261325542178026,0.00014356706705377428
PYDAMK,0.396863574824982,0.45191205507127774
HKYNH,0.013671902271875917,0.012245819211971924
DATCY,0.24350319483756655,1.7964025927497262
NNATn,0.0,0.0
METTRSm,0.0,0.0
SFGTHi,8.959878701383277e-14,1.1459752390093015e-12
IPCS226g_RT,-2.7574878984479513e-13,3.753399361224471e-13
ACP1e,0.0,0.0
FAO141p_even,0.0,0.0
FTHFLi,0.06407335509566386,0.028030455462418453
ASAD,-0.08237205011030918,0.05421867090085786
ECOAH7p,-0.004020188943772975,0.0033765349517052936
FACOAL140p,0.007437050281343905,0.010216784648154655
ECOAH9m,0.00029278362009336215,0.0003533430927678553
HXPRT,0.0904246596502114,0.10831221080726251
H2Otm,-23.80955962692277,2.645343916126527
C22STDSrx,-2.7865799868015806e-13,4.793585323380558e-13
NTRLASE2,0.0,0.0
DHAD2m,0.00705083414378935,0.007102212580524168
ERGSTGLCT,0.0,0.0
FACOAL182,0.07212423215210101,0.052695546512241405
P5CR,0.0027317440664658232,0.0030069402083368383
PSPHPLer,0.0,0.0
MI1PP,0.0,0.0
NAt3_1,607407.5314283684,163306.04942196503
NDPK10,0.0,0.0
BPNT2,5.3052622927973995e-14,5.440047512568296e-13
RNDR3n,0.0,0.0
CPPPGO,9.29762311287352e-07,7.623418222568714e-07
PTRCt3i,772375.6336508822,106808.85253720528
NAPRT,5.288462344449259e-14,5.003513578017593e-13
MIP2C324PLCg_RT,0.0,0.0
ALCD2x,-701762.3866321037,91563.73668159625
PTE7x,-2.060450618819244e-12,5.145042853474459e-12
NDPK3,-124879.1726755891,103613.5277715324
FAO161p_odd,-1.990066942520149e-13,2.7502722382325607e-13
LANOSTt,-0.0009085713244957417,0.0013396537885302167
FACOAL120,0.0,0.0
ECOAH5m,-0.03222787043406827,0.025449949188104896
SACCD4m,0.0,0.0
C4STMO2er,0.0030315648458505463,0.0021332726120629523
