reaction_id,median_fluxes,std_fluxes
NTRLASE2,0.0,0.0
DHAD2m,0.006455169317842199,0.00027646882891756115
ERGSTGLCT,0.0,0.0
FACOAL182,0.0023477046942057757,0.0013146011373332803
P5CR,0.000955609371731365,0.0008383541226539238
PSPHPLer,0.0,0.0
MI1PP,0.0,0.0
NAt3_1,279274.84419661365,194502.82604027298
NDPK10,0.0,0.0
BPNT2,0.0,0.0
RNDR3n,0.0,0.0
CPPPGO,2.6668303902374216e-05,6.426302300133653e-08
PTRCt3i,761518.044204655,83397.19555486382
NAPRT,1.4129035524709307e-06,1.1615721381047364e-06
MIP2C324PLCg_RT,0.0,0.0
ALCD2x,-712254.1499591679,107873.76171733238
PTE7x,0.0,0.0
NDPK3,756674.3829469634,97818.49056523593
FAO161p_odd,4.5137779432827275e-07,8.066069649627366e-07
