reaction_id,median_fluxes
TRIGSer_RT,0.0014983906802644065
DDPAm,0.0
GBEZ,0.41919938659582745
HPROb,0.0
TMPPP,0.000113185642839704
TKT1,0.11608397895770577
FBA,0.5500570664662743
DB4PS,0.0002829234805225053
ARGSS,0.10180965719358182
DHQS,0.10729231754979823
LEUt2r,-0.0041926353781739974
PSCVT,0.07995414120523545
ABUTt2r,0.0
ECOAH6p,-0.009544371130399704
CTPS1,0.011598058441813691
LANOSTATer_RT,0.0
MIP2C226PLCg_RT,0.0
HACD5p,-0.009544371130399704
ACGAM6PS,0.002519254010684874
GTHS,0.0072693236408500235
GUACYC,0.12154788225481303
GLUt7m,6.591896154691351
PRASCSi,0.012453914913707067
UTUP,0.0
PPND2,0.039771572829914656
PRAGSr,0.012453914913707067
FAS120COA,0.06786224685100381
SERPTer,0.0003255001077624262
G5SD,0.012252657545523722
MTRI,0.11461183530224117
CYSS,0.0
GLCS2,0.42771634967494354
HISt2r,290521.6455488885
ATHRDHr,-0.23215153481640916
DOLPMTcer,0.06564775410018124
PEPAT,0.0
CYSTA,0.0
PROt2r,-0.002445312150452732
ACOAD9m,0.06188987459403751
DROPPRx,0.00014146174026125264
PDXPP,0.0
G12MT1g,0.0
PPAm,0.7721969089852531
AIRCr,0.012453914913707067
LEUTRSm,0.0
GLYK,0.038847448088523244
GTHOm,0.0
CSNATm,0.33892783848001456
NTPP10,0.0
PUNP2,-0.009377771028833559
HEMEOSm,5.614592907554561e-05
PIN4Kn_RT,0.0
ADSL2r,0.012453914913707067
NDPK5,156448.43905457997
ALAt2r,-264859.947567883
FAO181p_even,0.0
CSNt2,0.0
GLYCDy,0.22446676754124636
ATPS3m,32.30073903689538
GLNt6,0.0
DHAD1m,0.1832684422338411
HCYSMT,0.06338796915511752
HCO3E,6.084306043404105
FKYNH,0.08859607989851147
UMPKn,99580.57820700787
FACOAL120p,0.0
MI1345PKn,0.0
PUNP5,0.018633682490311016
ARGTRS,0.011917806291108009
HSDxi,357088.7288644833
TYRTAip,0.0
GLYGS,0.41919938659582756
FBA2,-0.1475686331739548
ASNTRSm,0.0
H2Ot,-8.446433967740457
ASPt7,0.0
ADPRDP,0.0
PRFGS,0.012453914913707067
AMAOTrm,0.00019647012518765784
ILETAm,87461.4667509945
PSERSer_RT,0.0035035556897059566
NTRLASE,0.0
PHEt2r,-0.002200083761649132
UAGDP,291113.9349378246
ACACT9p,0.0
MIPCS324g_RT,1.1767019554795648e-13
AHSERL2,0.013708143628623878
ASNS1,0.00032052117733083767
EPISTESTH_RT,0.05380177319639887
MTHFR2,0.0073957439532903665
AGTi,0.02445716519434755
3DSPHRer,0.0003255001077624262
PIN4Ker_RT,0.007566069217944763
PYDXNO,-531009.7908698856
FRTT,0.0017311596206410985
PNTOt2,0.0
DPR,6.256492971326265e-05
SBTD_D2,0.8379689327254756
SERD_L,0.0
FALDH2,0.0
LYSt2r,291143.0236959818
TRE6PP,0.0018990487038403549
GLYCt2,320447.5481141759
ADMDC,0.1146118353022412
NDPK8,-153021.58368969808
TYRt2r,0.0
ALCD19y,104314.66575220975
MIPC226PLCg_RT,0.0
FRUt2,297510.8696147868
ALCD22xi,0.0
ADSS,0.29680892713956997
HPRO_u9m,0.0
ARAB14LO,0.0
PETOHMer_RT,0.002280481197169516
GTHPi,0.0
THMt2,0.0
UPP3MT,0.0
RPI,-0.3736201305848399
MIP2C126PLCg_RT,0.0
LSERDHr,0.0
HETZK,0.0
UPP3S,5.614592907554561e-05
THIORDXm,0.0
GLCGSD,0.26437017022048503
TMDS,0.00020500170630622774
XYLTD_D,1.1944036423795545
VALTRS,0.022358267745093523
URIK1,0.0
ERGSTATer_RT,0.006692614818600623
PYAM5PO,0.0
NADH2_u9m1,0.26136665418533456
IPMD,0.08903189199823631
IPC326PLCg_RT,0.0
CHTNS,0.002519254024583662
PTE2x,0.0
MIPCS224g_RT,1.815125510283288e-12
MANt2,525597.2963094411
RNDR1,0.00019915155224648902
ACACT10m,0.02025851906001829
SADT,0.11528722496859688
NTD4,0.6602467586612134
LPPer_RT,0.0
MDRPD,0.11461183530224117
CLPNSm_RT,0.00014625567631835345
2DOXG6PP,0.0
THRA,0.07903094635034282
FAS160COA,0.03637319003088624
AASAD1,0.01988282392739785
HACONTbm,0.07699694770038035
UTCY,0.0
ADCL,0.0048615956876589105
MMSAD3m,0.13495134431699374
GNK,0.0
THRA2,0.23215153481640916
SQLErx,0.0007926726700019338
NDPK4,0.00020500170630622774
PRAIS,0.012453914913707067
ACSm,0.7711094029368606
GND,0.4269606315483401
SULR,0.013491087869956148
CHLt2,0.0
FAO182p_odd,0.0
CERS326er,0.0
PUNP1m,0.0
FACOAL181,0.10506782985637245
AMID3,0.0
FMETTRSm,0.0
CATp,0.03360460134860149
LEUt6,0.2277077076609722
MI4PP,0.0
FADFMNtm,0.0
SBPP1er,0.003109120536182089
ACHLE3,0.0
PDE2,0.0
GUAt2r,0.0
GLUt7,0.0
PUNP1,-0.10762192512160046
EPISTt,-0.0005375756547837509
ME2,0.1286781071288686
SACCD1,0.01988282392739785
IPPMIb,-0.08903189199823631
C8STIer,0.002858463707657459
IPC126PLCg_RT,0.0
PLBP1Ie_RT,0.0
APNPT,0.0
PGK,-2.351289925866485
CTPtm,0.0002375834359253718
ORNTArm,0.008070570666799436
PUNP7,-0.22883379513163993
ARGTRSm,0.0
ADNK1,0.18219387537453624
CYTK1,55145.715360312606
FACOAL160,0.04837939717718716
RNDR4,0.0005166268588554441
MALT,0.0
ACS2,0.0
CTPS2,8.323342789005966e-05
